seat_id,x,y,z
right_seats.072,14.7247,79.0513,13.477
left_seats.073,14.7248,-4.1348,13.8873
right_seats.073,14.7247,79.8362,13.8873
left_seats.074,14.7248,-4.9197,14.2977
right_seats.074,14.7247,80.6211,14.2977
left_seats.075,14.7248,-5.7046,14.708
right_seats.075,14.7247,81.4061,14.708
left_seats.076,14.7248,-6.4896,15.1184
right_seats.076,14.7247,82.191,15.1184
left_seats.077,14.7248,-7.2745,15.5287
right_seats.077,14.7247,82.9759,15.5287
left_seats.078,14.7248,-8.0594,15.9391
right_seats.078,14.7247,83.7609,15.9391
left_seats.079,14.7248,-8.8444,16.3494
right_seats.079,14.7247,84.5458,16.3494
left_seats.080,14.7248,-9.6293,16.7598
right_seats.080,14.7247,85.3307,16.7598
left_seats.081,15.1968,-2.5649,13.0666
right_seats.081,15.1968,78.2663,13.0666
left_seats.082,15.1968,-3.3498,13.477
right_seats.082,15.1968,79.0513,13.477
left_seats.083,15.1968,-4.1348,13.8873
right_seats.083,15.1968,79.8362,13.8873
left_seats.084,15.1968,-4.9197,14.2977
right_seats.084,15.1968,80.6211,14.2977
left_seats.085,15.1968,-5.7046,14.708
right_seats.085,15.1968,81.4061,14.708
left_seats.086,15.1968,-6.4896,15.1184
right_seats.086,15.1968,82.191,15.1184
left_seats.087,15.1968,-7.2745,15.5287
right_seats.087,15.1968,82.9759,15.5287
left_seats.088,15.1968,-8.0594,15.9391
right_seats.088,15.1968,83.7609,15.9391
left_seats.089,15.1968,-8.8444,16.3494
right_seats.089,15.1968,84.5458,16.3494
left_seats.090,15.1968,-9.6293,16.7598
right_seats.090,15.1968,85.3307,16.7598
left_seats.091,15.6689,-2.5649,13.0666
right_seats.091,15.6689,78.2663,13.0666
left_seats.092,15.6689,-3.3498,13.477
right_seats.092,15.6689,79.0513,13.477
left_seats.093,15.6689,-4.1348,13.8873
right_seats.093,15.6689,79.8362,13.8873
left_seats.094,15.6689,-4.9197,14.2977
right_seats.094,15.6689,80.6211,14.2977
left_seats.095,15.6689,-5.7046,14.708
right_seats.095,15.6689,81.4061,14.708
left_seats.096,15.6689,-6.4896,15.1184
right_seats.096,15.6689,82.191,15.1184
left_seats.097,15.6689,-7.2745,15.5287
right_seats.097,15.6689,82.9759,15.5287
left_seats.098,15.6689,-8.0594,15.9391
right_seats.098,15.6689,83.7609,15.9391
left_seats.099,15.6689,-8.8444,16.3494
right_seats.099,15.6689,84.5458,16.3494
left_seats.100,15.6689,-9.6293,16.7598
right_seats.100,15.6689,85.3307,16.7598
left_seats.101,16.141,-2.5649,13.0666
right_seats.101,16.141,78.2663,13.0666
left_seats.102,16.141,-3.3498,13.477
right_seats.102,16.141,79.0513,13.477
left_seats.103,16.141,-4.1348,13.8873
right_seats.103,16.141,79.8362,13.8873
left_seats.104,16.141,-4.9197,14.2977
right_seats.104,16.141,80.6211,14.2977
left_seats.105,16.141,-5.7046,14.708
right_seats.105,16.141,81.4061,14.708
left_seats.106,16.141,-6.4896,15.1184
right_seats.106,16.141,82.191,15.1184
left_seats.107,16.141,-7.2745,15.5287
right_seats.107,16.141,82.9759,15.5287
left_seats.108,16.141,-8.0594,15.9391
right_seats.108,16.141,83.7609,15.9391
left_seats.109,16.141,-8.8444,16.3494
right_seats.109,16.141,84.5458,16.3494
left_seats.110,16.141,-9.6293,16.7598
right_seats.110,16.141,85.3307,16.7598
left_seats.111,16.6131,-2.5649,13.0666
right_seats.111,16.6131,78.2663,13.0666
left_seats.112,16.6131,-3.3498,13.477
right_seats.112,16.6131,79.0513,13.477
left_seats.113,16.6131,-4.1348,13.8873
right_seats.113,16.6131,79.8362,13.8873
left_seats.114,16.6131,-4.9197,14.2977
right_seats.114,16.6131,80.6211,14.2977
left_seats.115,16.6131,-5.7046,14.708
right_seats.115,16.6131,81.4061,14.708
left_seats.116,16.6131,-6.4896,15.1184
right_seats.116,16.6131,82.191,15.1184
left_seats.117,16.6131,-7.2745,15.5287
right_seats.117,16.6131,82.9759,15.5287
left_seats.118,16.6131,-8.0594,15.9391
right_seats.118,16.6131,83.7609,15.9391
left_seats.119,16.6131,-8.8444,16.3494
right_seats.119,16.6131,84.5458,16.3494
left_seats.120,16.6131,-9.6293,16.7598
right_seats.120,16.6131,85.3307,16.7598
left_seats.121,17.0852,-2.5649,13.0666
right_seats.121,17.0852,78.2663,13.0666
left_seats.122,17.0852,-3.3498,13.477
right_seats.122,17.0852,79.0513,13.477
left_seats.123,17.0852,-4.1348,13.8873
right_seats.123,17.0852,79.8362,13.8873
left_seats.124,17.0852,-4.9197,14.2977
right_seats.124,17.0852,80.6211,14.2977
left_seats.125,17.0852,-5.7046,14.708
right_seats.125,17.0852,81.4061,14.708
left_seats.126,17.0852,-6.4896,15.1184
right_seats.126,17.0852,82.191,15.1184
left_seats.127,17.0852,-7.2745,15.5287
right_seats.127,17.0852,82.9759,15.5287
left_seats.128,17.0852,-8.0594,15.9391
right_seats.128,17.0852,83.7609,15.9391
left_seats.129,17.0852,-8.8444,16.3494
right_seats.129,17.0852,84.5458,16.3494
left_seats.130,17.0852,-9.6293,16.7598
right_seats.130,17.0852,85.3307,16.7598
left_seats.131,17.5573,-2.5649,13.0666
right_seats.131,17.5573,78.2663,13.0666
left_seats.132,17.5573,-3.3498,13.477
right_seats.132,17.5573,79.0513,13.477
left_seats.133,17.5573,-4.1348,13.8873
right_seats.133,17.5573,79.8362,13.8873
left_seats.134,17.5573,-4.9197,14.2977
right_seats.134,17.5573,80.6211,14.2977
